date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:56	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Dec%202024%2012:08:57%20GMT	https://digitalnegociacao.com/robots.txt		(from )
13:08:57	85319/85319	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2012:08:57%20GMT	https://digitalnegociacao.com/?a=edit_account	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/index57aa.html	(from )
13:08:57	11141/11141	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jun%202024%2009:45:56%20GMT	https://digitalnegociacao.com/p.jpeg	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/p.jpg	(from https://digitalnegociacao.com/?a=edit_account)
13:08:57	38738/38738	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:28%20GMT	https://digitalnegociacao.com/css/font-awesome.min.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/css/font-awesome.min.css	(from https://digitalnegociacao.com/?a=edit_account)
13:08:58	1585/1585	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:26%20GMT	https://digitalnegociacao.com/vendors/flat-icon/flaticon.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/vendors/flat-icon/flaticon.css	(from https://digitalnegociacao.com/?a=edit_account)
13:08:58	166975/166975	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:26%20GMT	https://digitalnegociacao.com/css/bootstrap.min.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/css/bootstrap.min.css	(from https://digitalnegociacao.com/?a=edit_account)
13:08:58	38738/38738	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:28%20GMT	https://digitalnegociacao.com/vendors/revolution/css/settings.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/vendors/revolution/css/settings.css	(from https://digitalnegociacao.com/?a=edit_account)
13:08:58	149596/149596	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:28%20GMT	https://digitalnegociacao.com/vendors/revolution/css/layers.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/vendors/revolution/css/layers.css	(from https://digitalnegociacao.com/?a=edit_account)
13:08:58	63050/63050	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:26%20GMT	https://digitalnegociacao.com/vendors/revolution/css/navigation.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/vendors/revolution/css/navigation.css	(from https://digitalnegociacao.com/?a=edit_account)
13:08:59	3645/3645	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:28%20GMT	https://digitalnegociacao.com/vendors/owl-carousel/owl.carousel.min.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/vendors/owl-carousel/owl.carousel.min.css	(from https://digitalnegociacao.com/?a=edit_account)
13:08:59	75701/75701	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:28%20GMT	https://digitalnegociacao.com/vendors/animate-css/animate.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/vendors/animate-css/animate.css	(from https://digitalnegociacao.com/?a=edit_account)
13:08:59	3909/3909	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:28%20GMT	https://digitalnegociacao.com/vendors/nice-select/nice-select.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/vendors/nice-select/nice-select.css	(from https://digitalnegociacao.com/?a=edit_account)
13:08:59	95105/95105	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202022%2018:16:28%20GMT	https://digitalnegociacao.com/css/style.css	C:/Users/Diego/Downloads/uAdmin/digitalnegociacao.com/css/style.css	(from https://digitalnegociacao.com/?a=edit_account)
